"potentialBenefits","recommendationTypeId","learnMoreLink.Name","learnMoreLink.Url","publishedToAdvisor","aprlGuid","automationAvailable","description","publishedToLearn","recommendationControl","recommendationResourceType","longDescription","recommendationImpact","tags","pgVerified","recommendationMetadataState","automationAvailableReal"
"SLA guarantee & better scalability",,"Learn More","https://learn.microsoft.com/en-us/azure/aks/free-standard-pricing-tiers","False","0611251f-e70f-4243-8ddd-cfe894bec2e7","arg","Update AKS tier to Standard","False","High Availability","Microsoft.ContainerService/managedClusters","Production AKS clusters require the Standard tier for a financially backed SLA and enhanced node scalability, as the free service lacks these features.
","High",,"Preview","Active","arg"
"Faster scaling with virtual nodes",,"Learn More","https://learn.microsoft.com/azure/aks/virtual-nodes","False","b4639ca7-6308-429a-8b98-92f0bf9bf813","no","Attach Virtual Nodes (ACI) to the AKS cluster","False","Scalability","Microsoft.ContainerService/managedClusters","To rapidly scale AKS workloads, utilize virtual nodes for quick pod provisioning, unlike Kubernetes auto-scaler. For clusters with availability zones, ensure one nodepool per AZ due to persistent volumes not working across AZs, preventing auto-scaler pod creation failures if lacking access.
","Low",,"Preview","Active","none"
"Limits AKS resource usage per namespace",,"Learn More","https://kubernetes.io/docs/concepts/policy/resource-quotas/","False","9a1c17e5-c9a0-43db-b920-adaf54d1bcb7","no","Implement Resource Quota to ensure that Kubernetes resources do not exceed hard resource limits","False","Scalability","Microsoft.ContainerService/managedClusters","A ResourceQuota object sets limits on resource use per namespace, controlling the number and type of objects created, and the total compute resources available.
","Low",,"Preview","Active","none"
"Ensures future compatibility",,"Learn More","https://learn.microsoft.com/en-us/azure/aks/csi-storage-drivers","False","b002c030-72e6-4a37-8217-1cb276c43169","no","Upgrade Persistent Volumes using in-tree drivers to Azure CSI drivers","False","Governance","Microsoft.ContainerService/managedClusters","From Kubernetes 1.26, Azure Disk and Azure File in-tree drivers are deprecated in favor of CSI drivers. Existing deployments remain operational but untested; users should switch to CSI drivers for new features and SKUs.
","High",,"Verified","Active","none"
"Increases data durability and availability",,"Learn More","https://learn.microsoft.com/azure/aks/azure-disk-csi#azure-disk-csi-driver-features","False","d3111036-355d-431b-ab49-8ddad042800b","no","Use zone-redundant storage for persistent volumes when running multi-zone AKS","False","High Availability","Microsoft.ContainerService/managedClusters","ZRS ensures data replication across three zones, protecting against zonal outages. It's available for Azure Disks, Container Storage, Files, and Blob by setting the SKU to ZRS in storage classes, enhancing multi-zone AKS clusters from v1.29.
","Low",,"Verified","Active","none"
"Enhances features, fixes bugs, ensures support",,"Learn More","https://learn.microsoft.com/azure/aks/operator-best-practices-cluster-security?tabs=azure-cli#regularly-update-to-the-latest-version-of-kubernetes","False","e6188d3b-7fbc-4ecf-a37b-b658f9efcdc4","no","Plan an AKS version upgrade","False","Service Upgrade and Retirement","Microsoft.ContainerService/managedClusters","Minor version releases bring new features and improvements. Patch releases, often weekly, focus on critical bug fixes within a minor version, including security vulnerabilities or major bugs. Unsupported Kubernetes versions may lead to unsupported clusters when seeking AKS support.
","High",,"Preview","Active","none"
"Ensures data safety for AKS",,"Learn More","https://learn.microsoft.com/en-us/azure/backup/azure-kubernetes-service-cluster-backup","False","269a9f1a-6675-460a-831e-b05a887a8c4b","arg","Back up Azure Kubernetes Service","False","Disaster Recovery","Microsoft.ContainerService/managedClusters","AKS, popular for stateful apps needing backups, can now use Azure Backup to secure clusters and attached volumes through an installed Backup Extension, enabling backup and restore operations via a Backup Vault.
","Low",,"Preview","Active","arg"
"Optimizes scaling & prevents outages",,"Learn More","https://learn.microsoft.com/azure/aks/cluster-autoscaler?tabs=azure-cli","False","902c82ff-4910-4b61-942d-0d6ef7f39b67","arg","Enable the cluster auto-scaler on an existing cluster","False","Scalability","Microsoft.ContainerService/managedClusters","The cluster auto-scaler in AKS adjusts node counts based on pod resource needs and available capacity, enabling scaling as per demand to prevent outages.
","High",,"Preview","Active","arg"
"Dynamic IP allocation, scalable subnets, direct VNET access",,"Learn More","https://learn.microsoft.com/en-us/azure/aks/configure-azure-cni-dynamic-ip-allocation","False","c22db132-399b-4e7c-995d-577a60881be8","arg","Configure Azure CNI networking for dynamic allocation of IPs","False","Scalability","Microsoft.ContainerService/managedClusters","Azure CNI enhances cluster IP and network management, allowing dynamic IP allocation, scalable subnets, direct pod-VNET connectivity, and supports diverse network policies for pods and nodes with Azure Network Policies and Calico, optimizing network efficiency and security
","Medium",,"Preview","Active","arg"
"Enhanced security & access control",,"Learn More","https://learn.microsoft.com/en-us/azure/aks/concepts-identity#azure-ad-integration","False","ca324d71-54b0-4a3e-b9e4-10e767daa9fc","arg","Disable local accounts","False","Security","Microsoft.ContainerService/managedClusters","Local Kubernetes accounts in AKS, being non-auditable and legacy, are discouraged. Microsoft Entra's integration offers centralized management, multi-factor authentication, RBAC for detailed access, and a secure, scalable authentication system compatible with Azure and external identity providers.
","High",,"Preview","Active","arg"
"Enhanced reliability via pod isolation",,"Learn More","https://learn.microsoft.com/en-us/azure/aks/use-system-pools?tabs=azure-cli#system-and-user-node-pools","False","5ee083cd-6ac3-4a83-8913-9549dd36cf56","arg","Isolate system and application pods","False","High Availability","Microsoft.ContainerService/managedClusters","AKS assigns the kubernetes.azure.com/mode: system label to nodes in system node pools signaling system pods should be scheduled there.
","High",,"Preview","Active","arg"
"Efficient scaling, reduced disruptions",,"Learn More","https://learn.microsoft.com/azure/aks/concepts-network","False","e620fa98-7a40-41a0-bfc9-b4407297fb58","arg","Nodepool subnet size needs to accommodate maximum auto-scale settings","False","High Availability","Microsoft.ContainerService/managedClusters","Nodepool subnets sized for max auto-scale settings enable AKS to efficiently scale out nodes, meeting increased demand while reducing resource constraints and potential service disruptions.
","High",,"Preview","Active","arg"
"Prevents resource monopoly, ensures stability",,"Learn More","https://learn.microsoft.com/azure/aks/operator-best-practices-scheduler#enforce-resource-quotas","False","d479df28-d367-4ef0-8b86-0495ab94fabd","no","Enforce resource quotas at the namespace level","False","High Availability","Microsoft.ContainerService/managedClusters","Enforcing namespace-level resource quotas in AKS is crucial for reliability, preventing resource exhaustion and maintaining cluster stability. It stops applications or users from monopolizing resources, avoiding degraded performance or outages for others.
","High",,"Preview","Active","none"
"Enhanced stability & support",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/release-notes/runtime/databricks-runtime-ver","False","0e835cc2-2551-a247-b1f1-3c5f25c9cb70","no","Databricks runtime version is not latest or is not LTS version","False","Governance","Microsoft.Databricks/workspaces","Databricks recommends migrating workloads to the latest or LTS version of its runtime for enhanced stability and support. If on Runtime 11.3 LTS or above, move directly to the latest 12.x version. If below, first migrate to 11.3 LTS, then to the latest 12.x version as per the migration guide.
","Medium",,"Verified","Active","none"
"Ensures high reliability for production",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-machines/spot-vms","False","b5af7e26-3939-1b48-8fba-f8d4a475c67a","no","Do not use Azure Sport VMs for critical Production workloads","False","High Availability","Microsoft.Databricks/workspaces","Azure Spot VMs are not suitable for critical production workloads needing high availability and reliability. They are meant for fault-tolerant tasks and can be evicted with 30-seconds notice if Azure needs the capacity, with no SLA guarantees.
","High",,"Preview","Active","none"
"Enhanced security, data protection",,"Learn More","https://github.com/Azure/AzureDatabricksBestPractices/blob/master/toc.md#do-not-store-any-production-data-in-default-dbfs-foldersr","False","14310ba6-77ad-3641-a2db-57a2218b9bc7","no","Do not Store any Production Data in Default DBFS Folders","False","High Availability","Microsoft.Databricks/workspaces","Driven by security and data availability concerns, each Azure Databricks Workspace comes with a default DBFS designed for system-level artifacts like libraries and Init scripts, not for production data.
","High",,"Preview","Active","none"
"Enhanced security & resource isolation",,"Learn More","https://github.com/Azure/AzureDatabricksBestPractices/blob/master/toc.md#consider-isolating-each-workspace-in-its-own-vnet","False","5e722c4f-415a-9b4c-bd4c-96b74dce29ad","no","Isolate each workspace in its own Vnet","False","Scalability","Microsoft.Databricks/workspaces","Deploying only one Databricks Workspace per VNet aligns with ADB's isolation model.
","High",,"Preview","Active","none"
"Enhanced limits management, team separation",,"Learn More","https://github.com/Azure/AzureDatabricksBestPractices/blob/master/toc.md#deploy-workspaces-in-multiple-subscriptions-to-honor-azure-capacity-limits","False","397cdebb-9d6e-ab4f-83a1-8c481de0a3a7","no","Deploy workspaces in separate Subscriptions","False","Scalability","Microsoft.Databricks/workspaces","Customers often naturally divide workspaces by teams or departments. However, it's crucial to also consider Azure Subscription and ADB Workspace limits when partitioning.
","High",,"Preview","Active","none"
"Enhanced reliability & automation",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/operational-excellence/best-practices#system-monitoring","False","20193ff9-dbcd-a74e-b197-71d7d9d3c1e6","no","Set up monitoring, alerting, and logging","False","Monitoring and Alerting","Microsoft.Databricks/workspaces","The Databricks Terraform provider is a flexible, powerful tool for managing Azure Databricks workspaces and cloud infrastructure.
","High",,"Preview","Active","none"
"Efficient, reliable automation",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/operational-excellence/best-practices#2-automate-deployments-and-workloads","False","42aedaa8-6151-424d-b782-b8666c779969","no","Automate deployments and workloads","False","Automation","Microsoft.Databricks/workspaces","The Databricks Terraform provider manages Azure Databricks workspaces and cloud infrastructure flexibly and powerfully.
","High",,"Preview","Active","none"
"Ensures service continuity during disasters",,"Learn More","https://github.com/Azure/AzureDatabricksBestPractices/tree/master","False","4fdb7112-4531-6f48-b60e-c917a6068d9b","no","Configure a disaster recovery pattern","False","Disaster Recovery","Microsoft.Databricks/workspaces","Implementing a disaster recovery pattern is vital for Azure Databricks, a cloud-native data analytics platform, ensuring data teams' access even during rare regional outages caused by disasters like hurricanes or earthquakes.
","High",,"Preview","Active","none"
"Saves time and money with smart recovery",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/reliability/best-practices","False","c0e22580-3819-444d-8546-a80e4ed85c83","no","Use Databricks Workflows and built-in recovery","False","Disaster Recovery","Microsoft.Databricks/workspaces","Databricks Workflows enable efficient error recovery in multi-task jobs by offering a matrix view for issue examination. Fixes can be applied to initiate repair runs targeting only failed and dependent tasks, preserving successful outcomes and thereby saving time and money.
","Low",,"Verified","Active","none"
"Easy rollback and fix for ETL jobs",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/reliability/best-practices#recover-etl-jobs-based-on-delta-time-travel","False","a18d60f8-c98c-ba4e-ad6e-2fac72879df1","no","Recover ETL jobs based on Delta time travel","False","Disaster Recovery","Microsoft.Databricks/workspaces","Despite thorough testing, a production job can fail or yield unexpected data. Sometimes, repairs are done by adding jobs post-issue identification and pipeline correction.
","Medium",,"Verified","Active","none"
"Fault-tolerance & auto-restart for queries",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/reliability/best-practices#recover-from-structured-streaming-query-failures","False","12e9d852-5cdc-2743-bffe-ee21f2ef7781","no","Recover from Structured Streaming query failures","False","High Availability","Microsoft.Databricks/workspaces","Structured Streaming ensures fault-tolerance and data consistency in streaming queries. With Azure Databricks workflows, you can set up your queries to automatically restart after failure, picking up precisely where they left off.
","High",,"Verified","Active","none"
"Ensures data recovery & migration",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/reliability/best-practices#create-regular-backups","False","932d45d6-b46d-e341-abfb-d97bce832f1f","no","Create regular backups","False","Disaster Recovery","Microsoft.Databricks/workspaces","To recover from a failure, regular backups are needed. The Databricks Labs project migrate lets admins create backups by exporting workspace assets using the Databricks CLI/API. These backups help in restoring or migrating workspaces.
","Low",,"Verified","Active","none"
"Ensures data quality and integrity",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/reliability/best-practices#use-constraints-and-data-expectations","False","a42297c4-7e4f-8b41-8d4b-114033263f0e","no","Use constraints and data expectations","False","Business Continuity","Microsoft.Databricks/workspaces","Delta tables verify data quality automatically with SQL constraints, triggering an error for violations. Delta Live Tables enhance this by defining expectations for data quality, utilizing Python or SQL, to manage actions for record failures, ensuring data integrity and compliance.
","Low",,"Verified","Active","none"
"Prevents invalid data & job failures",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/reliability/best-practices","False","b7e1d13f-54c9-1648-8a52-34c0abe8ce16","no","Actively manage schemas","False","Other Best Practices","Microsoft.Databricks/workspaces","Uncontrolled schema changes can lead to invalid data and failing jobs. Databricks validates and enforces schema through Delta Lake, which prevents bad records during ingestion, and Auto Loader, which detects new columns and supports schema evolution to maintain data integrity.
","Medium",,"Verified","Active","none"
"Enhanced data integrity and quality",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/reliability/best-practices","False","e93fe702-e385-d741-ba37-1f1656482ecd","no","Improve data integrity by reducing data redundancy","False","Business Continuity","Microsoft.Databricks/workspaces","Copying data leads to redundancy, lost integrity, lineage, and access issues, affecting lakehouse data quality. Temporary copies are useful for agility and innovation but can become problematic operational data silos, questioning data's master status and currency.
","Low",,"Verified","Active","none"
"Enhances data quality & trust",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/reliability/best-practices","False","1b0d0893-bf0e-8f4c-9dc6-f18f145c1ecf","no","Use a layered storage architecture","False","High Availability","Microsoft.Databricks/workspaces","Curate data by creating a layered architecture to increase data quality across layers. Start with a raw layer for ingested source data, continue with a curated layer for cleansed and refined data, and finish with a final layer catered to business needs, focusing on security and performance.
","Medium",,"Verified","Active","none"
"Enhances scalability & reliability",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/reliability/best-practices","False","4cbb7744-ff3d-0447-badb-baf068c95696","no","Use a scalable and production-grade model serving infrastructure","False","Scalability","Microsoft.Databricks/workspaces","Use Databricks and MLflow for deploying models as Apache Spark UDFs, benefiting from job scheduling, retries, autoscaling, etc.
","High",,"Verified","Active","none"
"Enhanced reliability & autoscaling",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/reliability/best-practices","False","84e44da6-8cd7-b349-b02c-c8bf72cf587c","no","Configure jobs for automatic retries and termination","False","High Availability","Microsoft.Databricks/workspaces","Use Databricks and MLflow for deploying models as Spark UDFs for job scheduling, retries, autoscaling. Model serving offers scalable infrastructure, processes models using MLflow, and serves them via REST API using serverless compute managed in Databricks cloud.
","High",,"Verified","Active","none"
"Enhanced data resilience and integrity",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/reliability/best-practices","False","7e52d64d-8cc0-8548-a593-eb49ab45630d","no","Automatically rescue invalid or nonconforming data with Databricks Auto Loader or Delta Live Tables","False","Business Continuity","Microsoft.Databricks/workspaces","Invalid or nonconforming data can crash workloads dependent on specific data formats. Best practices recommend filtering such data at ingestion to improve end-to-end resilience, ensuring no data is lost or missed.
","Low",,"Verified","Active","none"
"Boosts speed & reliability for Spark tasks",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/reliability/best-practices#use-apache-spark-or-photon-for-distributed-compute","False","892ca809-e2b5-9a47-924a-71132bf6f902","no","Use Photon Acceleration","False","High Availability","Microsoft.Databricks/workspaces","Apache Spark in Databricks Lakehouse ensures resilient distributed data processing by automatically rescheduling failed tasks, aiding in overcoming external issues like network problems or revoked VMs.
","Low",,"Verified","Active","none"
"Enhances data reliability & processing",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/reliability/best-practices","False","da4ea916-4df3-8c4d-8060-17b49da45977","no","Use Delta Lake for higher reliability","False","High Availability","Microsoft.Databricks/workspaces","Delta Lake is an open source storage format enhancing data lakes' reliability with ACID transactions, schema enforcement, and scalable metadata handling.
","High",,"Verified","Active","none"
"Improved troubleshooting & audit",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/clusters/configure#cluster-log-delivery","False","7fb90127-5364-bb4d-86fa-30778ed713fb","no","Enable Logging-Cluster log delivery","False","Monitoring and Alerting","Microsoft.Databricks/workspaces","When creating a Databricks cluster, you can set a log delivery location for the Spark driver, worker nodes, and events. Logs are delivered every 5 mins and archived hourly. Upon cluster termination, all generated logs until that point are guaranteed to be delivered.
","Medium",,"Verified","Active","none"
"Saves cluster resources, avoids idle use",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/reliability/best-practices","False","3d3e53b5-ebd1-db42-b43b-d4fad74824ec","no","Automatic Job Termination is enabled, ensure there are no user-defined local processes","False","High Availability","Microsoft.Databricks/workspaces","To conserve cluster resources, you can terminate a cluster to store its configuration for future reuse or autostart jobs. Clusters can auto-terminate after inactivity, but this only tracks Spark jobs, not local processes, which might still be running even after Spark jobs end.
","Medium",,"Verified","Active","none"
"Optimized resource use & minimal latency",,"Learn More","https://learn.microsoft.com/azure/databricks/lakehouse-architecture/reliability/best-practices","False","cd77db98-9b13-6e4b-bd2b-74c2cb538628","no","Use Delta Live Tables enhanced autoscaling","False","Scalability","Microsoft.Databricks/workspaces","Databricks enhanced autoscaling optimizes cluster utilization by automatically allocating cluster resources based on workload volume, with minimal impact on the data processing latency of your pipelines.
","Medium",,"Verified","Active","none"
"Improves concurrency & efficiency",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/reliability/best-practices#enable-autoscaling-for-sql-warehouse","False","362ad2b6-b92c-414f-980a-0cf69467ccce","no","Enable autoscaling for SQL warehouse","False","Scalability","Microsoft.Databricks/workspaces","The scaling parameter of a SQL warehouse defines the min and max number of clusters for distributing queries. By default, it's set to one. Increasing the cluster count can accommodate more concurrent users effectively.
","High",,"Verified","Active","none"
"Cost & performance optimization",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/reliability/best-practices#enable-autoscaling-for-batch-workloadss","False","5c72f0d6-55ec-d941-be84-36c194fa78c0","no","Enable autoscaling for batch workloads","False","Scalability","Microsoft.Databricks/workspaces","Autoscaling adjusts cluster sizes automatically based on workload demands, offering benefits for many use cases in terms of costs and performance. It includes guidance on when and how to best utilize Autoscaling. For streaming, Delta Live Tables with autoscaling is advised.
","High",,"Verified","Active","none"
"Faster, reliable VM performance",,"Learn More","https://learn.microsoft.com/azure/virtual-machines/disks-types#premium-ssd","False","5877a510-8444-7a4c-8412-a8dab8662f7e","no","Use SSD backed VMs for Worker VM Type and Driver type","False","Scalability","Microsoft.Databricks/workspaces","Upgrade HDDs in premium VMs to SSDs for better speed and reliability. Premium SSDs boost IO-heavy apps; Standard SSDs balance cost and performance. Ideal for critical workloads, upgrading improves connectivity with brief reboot. Consider for vital VMs
","Medium",,"Verified","Active","none"
"Reduces provisioning errors",,"Learn More","https://learn.microsoft.com/en-us/azure/databricks/lakehouse-architecture/reliability/best-practices","False","c166602e-0804-e34b-be8f-09b4d56e1fcd","no","Use Databricks Pools","False","Scalability","Microsoft.Databricks/workspaces","Databricks pools pre-provision VMs, reducing risks of provisioning errors during cluster start or scale, enhancing reliability.
","High",,"Verified","Active","none"
"Improves resilience and data sovereignty",,"Learn More","https://learn.microsoft.com/azure/databricks/resources/supported-regions#--ip-addresses-and-domains","False","8aa63c34-dd9d-49bd-9582-21ec310dfbdd","no","Migrate Legacy Workspaces","False","High Availability","Microsoft.Databricks/workspaces","Azure Databricks transitioned from a shared to dedicated in-region control planes to prevent regional outages affecting customer workspaces. Legacy workspaces, established before this change, differ from newer workspaces that utilize in-region control planes.
","High",,"Preview","Active","none"
"Ensures service availability",,"Learn More","https://learn.microsoft.com/azure/databricks/compute/cluster-config-best-practices","False","028593be-956e-4736-bccf-074cb10b92f4","no","Define alternate VM SKUs","False","System Efficiency","Microsoft.Databricks/workspaces","Azure Databricks planning should include VM SKU swap strategies for capacity issues. VMs are regional, and allocation failures may occur, shown by a ""CLOUD PROVIDER"" error.
","Medium",,"Preview","Active","none"
"Enhanced uptime & data protection",,"Learn More","https://learn.microsoft.com/azure/mysql/flexible-server/concepts-high-availability","False","88856605-53d8-4bbd-a75b-4a7b14939d32","arg","Enable HA with zone redundancy","False","High Availability","Microsoft.DBforMySQL/flexibleServers","Enable HA with zone redundancy on flexible server instances to deploy a standby replica in a different zone, offering automatic failover capability for improved reliability and disaster recovery.
","High",,"Verified","Active","arg"
"Control update timings",,"Learn More","https://learn.microsoft.com/azure/mysql/flexible-server/concepts-maintenance","False","82a9a0f2-24ee-496f-9ad2-25f81710942d","arg","Enable custom maintenance schedule","False","Scalability","Microsoft.DBforMySQL/flexibleServers","Use custom maintenance schedule on flexible server instances to select a preferred time for service updates to be applied.
","High",,"Verified","Active","arg"
"Enhanced uptime & data protection",,"Learn More","https://learn.microsoft.com/azure/postgresql/flexible-server/concepts-high-availability","False","ca87914f-aac4-4783-ab67-82a6f936f194","arg","Enable HA with zone redundancy","False","High Availability","Microsoft.DBforPostgreSQL/flexibleServers","Enable HA with zone redundancy on flexible server instances to deploy a standby replica in a different zone, offering automatic failover capability for improved reliability and disaster recovery.
","High",,"Verified","Active","arg"
"Control update timings",,"Learn More","https://learn.microsoft.com/azure/postgresql/flexible-server/concepts-maintenance","False","b2bad57d-7e03-4c0f-9024-597c9eb295bb","arg","Enable custom maintenance schedule","False","Scalability","Microsoft.DBforPostgreSQL/flexibleServers","Use custom maintenance schedule on flexible server instances to select a preferred time for service updates to be applied.
","High",,"Verified","Active","arg"
"Enhances AVD reliability",,"Learn More","https://learn.microsoft.com/en-us/azure/well-architected/azure-virtual-desktop/networking#private-endpoints-private-link","False","dc55be60-6f8c-461e-a9d5-a3c7686ed94e","no","Use Private link when connecting to File Share or Key Vault","False","Security","Microsoft.DesktopVirtualization/hostPools","Private Link is available for other Azure services that work in conjunction with Azure Virtual Desktop, such as Azure Files and Key Vault. From a resiliency standpoint, we recommending implementing private endpoints for these services to reduce exposure to potential internet-related issues such as latency, packet loss, and/or downtime. This can lead to more reliable communication between AVD and dependent services.
","Medium",,"Verified","Active","none"
"Enhanced AVD monitoring & troubleshooting",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-desktop/insights?tabs=monitor","False","0cf72d91-644d-4591-9bb7-84ba3f705a41","no","Configure AVD Insights Workbook","False","Monitoring and Alerting","Microsoft.DesktopVirtualization/hostPools","AVD Insights is an Azure Workbook template provided by the AVD product team. It is highly recommended in order to monitor and troubleshoot AVD workloads across metrics, logs, events, and more. Both Production and DR workloads should be enabled with AVD Insights.
","High",,"Verified","Active","none"
"Ensures DR readiness and access",,"Learn More","https://learn.microsoft.com/en-us/azure/key-vault/general/disaster-recovery-guidance","False","1f57434f-f884-41f3-b818-129bbe3c5d3b","no","Provision Secondary Key Vault for Disaster Recovery","False","Disaster Recovery","Microsoft.DesktopVirtualization/hostPools","To ensure continuous availability and disaster recovery readiness, it is recommended to provision a secondary Key Vault in a secondary region. In the event of a primary region failure, this secondary Key Vault will ensure that critical secrets are accessible for use in deployments in the secondary region.
","High",,"Verified","Active","none"
"Enhanced failover reliability",,"Learn More","https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/design-area/management-business-continuity-disaster-recovery","False","4b1a45af-d35f-442d-922a-a3e7b6052de1","no","Ensure route tables accommodate failover","False","Disaster Recovery","Microsoft.DesktopVirtualization/hostPools","Ensure Route Tables that force tunnel traffic to FW/NVA have failover considerations evaluated and won't fail or trigger next-gen FW protections.
AVD workload teams should collaborate with centralized teams that manage the shared infrastructure, like networking, to ensure that both Production and DR workloads have the appropriate route tables in place for failover of routing to perform as expected.
","Medium",,"Verified","Active","none"
"Enhances security & prevents IP conflicts",,"Learn More","https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/plan-for-ip-addressing","False","37d1091b-e599-4548-a067-a9286be16e45","no","Ensure virtual networks isolation with separate IP space and NSGs for Prod and DR","False","Business Continuity","Microsoft.DesktopVirtualization/hostPools","NSG and ASG per AVD persona and IP space per Prod/DR regions.
It's important your organization plans for IP addressing in Azure. Planning ensures the IP address space doesn't overlap across on-premises locations and Azure regions. Overlapping IP address spaces across on-premises and Azure regions create major contention challenges.
","Medium",,"Verified","Active","none"
"Enhanced availability & routing",,"Learn More","https://learn.microsoft.com/en-us/azure/expressroute/designing-for-disaster-recovery-with-expressroute-privatepeering#need-for-redundant-connectivity-solution","False","db1727d1-5c8e-4a01-a31e-f0d58cfd95b1","no","Ensure virtual networks have route tables/route server configured for all regions","False","High Availability","Microsoft.DesktopVirtualization/hostPools","For high availability connections back to on-premises datacenters should consider backup paths across the regions that have been utilized. Ensure redundancy in routing by having a secondary route table in the secondary region.
","Medium",,"Verified","Active","none"
"Enhances performance & scalability",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-desktop/app-attach-overview?pivots=msix-app-attach","False","7d9c96a6-1ce5-4cf0-ad1b-638a37f753cb","no","Segregate App attach storage in disaster recovery plans with distinct file shares","False","Disaster Recovery","Microsoft.DesktopVirtualization/hostPools","App Attach packages should be on a separate share from profiles. And App Attach files should be backed up.
Best practice is to separate App Attach VHD files in a separate file share away from user profiles, both for performance and scalability purposes. Requirements can vary greatly depending on how many packaged applications are stored in an image, and you need to test your applications to understand your requirements.
Your file share should be in the same Azure region as your session hosts.
","Medium",,"Verified","Active","none"
"Enhanced stability & user limit checks",,"Learn More","https://learn.microsoft.com/en-us/azure/virtual-desktop/app-attach-overview?pivots=msix-app-attach","False","9b2301af-9cac-4f1a-871a-f17475d01812","no","Turn on Continuous Availability for ANF if using App Attach","False","High Availability","Microsoft.DesktopVirtualization/hostPools","Turn on Continuous Availability if using Azure Netapp Files.
Verify the number of users connecting to each file share to make sure the SMB path can handle the number of file connections. Currently, Azure Files supports up to 10k handles per root directory.
","Medium",,"Verified","Active","none"
"Enhanced reliability & support",,"Learn More","https://learn.microsoft.com/en-us/fslogix/how-to-install-fslogix","False","d51e0a70-8b50-4be3-af8a-7c9065e47360","no","Manually update new FSLogix image when available","False","Governance","Microsoft.DesktopVirtualization/hostPools","Ensure a process is in place to regularly check for FSLogix agent upgrades and maintain FSLogix up to date. We recommend customers upgrade to the latest version of FSLogix as quickly as their deployment process can allow. FSLogix will provide hotfix releases which address current and potential bugs that impact customer deployments. Additionally, it is the first requirement when opening any support case.
","Low",,"Verified","Active","none"
"Enhanced AVD error tracking and resolution",,"Learn More","https://learn.microsoft.com/en-us/fslogix/troubleshooting-events-logs-diagnostics","False","483f5a00-84a0-49f7-903b-ef6f1fc0c389","no","Configure Diagnostic Settings for FSLogix logs and enable review for accounts","False","Monitoring and Alerting","Microsoft.DesktopVirtualization/hostPools","Regularly review FSLogix logs for errors and issues related to login and mounting the profile. Events can be reviewed by looking locally inside the Session Host and also in Log Analytics when the Azure Monitor Agent is used.
","Medium",,"Verified","Active","none"
"Enhanced security & disaster recovery",,"Learn More","https://learn.microsoft.com/en-us/fslogix/how-to-configure-storage-permissions","False","7b170ddd-5770-4945-9bc3-cd1ccf5f8672","no","Ensure user permissions are set correctly on SMB shares","False","Security","Microsoft.DesktopVirtualization/hostPools","Verify user permissions are correctly set on SMB shares so that users have appropriate access to only their own profile and not other user profiles, while administrators have full access at the root volume. Also ensure secondary storage path permissions are set in case of a DR event.
","High",,"Verified","Active","none"
"Optimized session reliability and performance",,"Learn More","https://learn.microsoft.com/en-us/fslogix/reference-configuration-settings?tabs=profiles","False","c15b2b73-52a1-4db2-88dd-d592424ff4e4","no","Ensure the standard FSLogix configuration is deployed","False","Governance","Microsoft.DesktopVirtualization/hostPools","Ensure all session hosts have the standard FSLogix configuration deployed. Regularly validate settings for consistency and alignment with best practices.
","High",,"Verified","Active","none"
