WARAinScope,ResourceType,FriendlyName,InAprlAndOrAdvisor
no,Microsoft.ServiceBus/namespaces/queues/authorizationrules,null,No
no,Microsoft.ServiceBus/namespaces/topics,null,No
no,Microsoft.ServiceBus/namespaces/topics/authorizationrules,null,No
no,Microsoft.ServiceBus/namespaces/topics/subscriptions,null,No
no,Microsoft.ServiceBus/namespaces/topics/subscriptions/rules,null,No
no,Microsoft.ServiceBus/checkNamespaceAvailability,null,No
no,Microsoft.ServiceBus/checkNameAvailability,null,No
no,Microsoft.ServiceBus/sku,null,No
no,Microsoft.ServiceBus/premiumMessagingRegions,null,No
no,Microsoft.ServiceBus/operations,null,No
no,Microsoft.ServiceBus/namespaces/eventgridfilters,null,No
no,Microsoft.ServiceBus/namespaces/disasterrecoveryconfigs,null,No
no,Microsoft.ServiceBus/namespaces/migrationConfigurations,null,No
no,Microsoft.ServiceBus/namespaces/disasterrecoveryconfigs/checkNameAvailability,null,No
no,Microsoft.ServiceBus/locations,null,No
no,Microsoft.ServiceBus/locations/operationStatus,null,No
no,Microsoft.ServiceBus/locations/namespaceOperationResults,null,No
no,Microsoft.ServiceBus/locations/deleteVirtualNetworkOrSubnets,null,No
yes,Microsoft.ApiManagement/service,Api Management,Yes
no,Microsoft.ApiManagement/deletedServices,null,No
no,Microsoft.ApiManagement/locations,null,No
no,Microsoft.ApiManagement/locations/deletedServices,null,No
no,Microsoft.ApiManagement/validateServiceName,null,No
no,Microsoft.ApiManagement/checkServiceNameAvailability,null,No
no,Microsoft.ApiManagement/checkNameAvailability,null,No
no,Microsoft.ApiManagement/reportFeedback,null,No
no,Microsoft.ApiManagement/checkFeedbackRequired,null,No
no,Microsoft.ApiManagement/operations,null,No
no,Microsoft.ApiManagement/getDomainOwnershipIdentifier,null,No
no,Microsoft.ApiManagement/service/eventGridFilters,null,No
no,Microsoft.DomainRegistration/domains,null,No
no,Microsoft.DomainRegistration/domains/domainOwnershipIdentifiers,null,No
no,Microsoft.DomainRegistration/topLevelDomains,null,No
no,Microsoft.DomainRegistration/checkDomainAvailability,null,No
no,Microsoft.DomainRegistration/listDomainRecommendations,null,No
no,Microsoft.DomainRegistration/validateDomainRegistrationInformation,null,No
no,Microsoft.DomainRegistration/generateSsoRequest,null,No
no,Microsoft.DomainRegistration/operations,null,No
no,Microsoft.EventGrid/locations,null,No
no,Microsoft.EventGrid/locations/eventSubscriptions,null,No
no,Microsoft.EventGrid/locations/notifyNetworkSecurityPerimeterUpdatesAvailable,null,No
yes,Microsoft.EventGrid/eventSubscriptions,Event Grid Event Subscriptions,No
yes,Microsoft.EventGrid/topics,Event Grid Topics,Yes
yes,Microsoft.EventGrid/domains,Event Grid domain,Yes
no,Microsoft.EventGrid/domains/topics,null,No
no,Microsoft.EventGrid/topicTypes,null,No
no,Microsoft.EventGrid/operations,null,No
no,Microsoft.EventGrid/locations/operationsStatus,null,No
no,Microsoft.EventGrid/locations/operationResults,null,No
no,Microsoft.EventGrid/locations/topicTypes,null,No
no,Microsoft.EventGrid/extensionTopics,null,No
no,Microsoft.EventGrid/operationResults,null,No
no,Microsoft.EventGrid/operationsStatus,null,No
yes,Microsoft.EventGrid/systemTopics,Event Grid System Topics,No
no,Microsoft.EventGrid/systemTopics/eventSubscriptions,null,No
no,Microsoft.EventGrid/partnerRegistrations,null,No
no,Microsoft.EventGrid/partnerConfigurations,null,No
no,Microsoft.EventGrid/verifiedPartners,null,No
yes,Microsoft.EventGrid/namespaces,Event Grid Namespaces,No
yes,Microsoft.EventGrid/partnerNamespaces,Event Grid Partner Namespaces,No
yes,Microsoft.EventGrid/partnerTopics,Event Grid Partner Topics,No
no,Microsoft.EventGrid/partnerTopics/eventSubscriptions,null,No
no,Microsoft.EventGrid/partnerNamespaces/eventChannels,null,No
no,Microsoft.EventGrid/partnerNamespaces/channels,null,No
no,Microsoft.EventGrid/partnerDestinations,null,No
no,Microsoft.LoadTestService/operations,null,No
no,Microsoft.LoadTestService/checkNameAvailability,null,No
no,Microsoft.LoadTestService/loadtests,null,No
no,Microsoft.LoadTestService/Locations,null,No
no,Microsoft.LoadTestService/Locations/OperationStatuses,null,No
no,Microsoft.LoadTestService/registeredSubscriptions,null,No
no,Microsoft.LoadTestService/loadtests/outboundNetworkDependenciesEndpoints,null,No
no,Microsoft.LoadTestService/Locations/Quotas,null,No
no,Microsoft.LoadTestService/loadTestMappings,null,No
yes,Microsoft.Kusto/clusters,Data explorer resource,Yes
no,Microsoft.Kusto/clusters/databases,null,No
no,Microsoft.Kusto/clusters/attacheddatabaseconfigurations,null,No
no,Microsoft.Kusto/clusters/principalassignments,null,No
no,Microsoft.Kusto/clusters/databases/eventhubconnections,null,No
no,Microsoft.Kusto/clusters/databases/dataconnections,null,No
no,Microsoft.Kusto/clusters/databases/principalassignments,null,No
no,Microsoft.Kusto/locations/operationResults,null,No
no,Microsoft.Kusto/locations,null,No
no,Microsoft.Kusto/locations/checkNameAvailability,null,No
no,Microsoft.Kusto/locations/skus,null,No
no,Microsoft.Kusto/operations,null,No
no,Microsoft.Kusto/clusters/databases/scripts,null,No
no,Microsoft.Kusto/clusters/managedPrivateEndpoints,null,No
no,Microsoft.Kusto/clusters/sandboxCustomImages,null,No
no,Microsoft.CloudShell/operations,null,No
no,Microsoft.IoTSecurity/Operations,null,No
no,Microsoft.IoTSecurity/defenderSettings,null,No
no,Microsoft.IoTSecurity/locations,null,No
no,Microsoft.IoTSecurity/locations/deviceGroups,null,No
no,Microsoft.IoTSecurity/locations/deviceGroups/devices,null,No
no,Microsoft.IoTSecurity/locations/endpoints,null,No
no,Microsoft.IoTSecurity/locations/deviceGroups/vulnerabilities,null,No
no,Microsoft.IoTSecurity/locations/deviceGroups/alerts,null,No
no,Microsoft.IoTSecurity/locations/deviceGroups/alerts/pcaps,null,No
no,Microsoft.IoTSecurity/locations/deviceGroups/alerts/learn,null,No
no,Microsoft.IoTSecurity/locations/deviceGroups/recommendations,null,No
no,Microsoft.IoTSecurity/locations/sites,null,No
no,Microsoft.IoTSecurity/locations/sites/sensors,null,No
no,Microsoft.IoTSecurity/sites,null,No
no,Microsoft.IoTSecurity/sensors,null,No
no,Microsoft.IoTSecurity/onPremiseSensors,null,No
no,Microsoft.IoTSecurity/alertTypes,null,No
no,Microsoft.IoTSecurity/recommendationTypes,null,No
no,Microsoft.IoTSecurity/licenseSkus,null,No
yes,Microsoft.Quota/usages,Quota Usages,No
yes,Microsoft.Quota/quotas,Quotas,No
no,Microsoft.Quota/quotaRequests,null,No
no,Microsoft.Quota/operationsStatus,null,No
no,Microsoft.Quota/operations,null,No
no,Microsoft.Quota/groupQuotas,null,No
no,Microsoft.Quota/groupQuotas/groupQuotaLimits,null,No
no,Microsoft.Quota/groupQuotas/subscriptions,null,No
no,Microsoft.Quota/groupQuotas/groupQuotaRequests,null,No
no,Microsoft.Quota/groupQuotas/quotaAllocations,null,No
no,Microsoft.Quota/groupQuotas/quotaAllocationRequests,null,No
no,Microsoft.Quota/groupQuotas/groupQuotaOperationsStatus,null,No
no,Microsoft.Quota/groupQuotas/subscriptionRequests,null,No
no,Microsoft.Quota/groupQuotas/quotaAllocationOperationsStatus,null,No
no,Microsoft.ResourceHealth/availabilityStatuses,null,No
no,Microsoft.ResourceHealth/childAvailabilityStatuses,null,No
no,Microsoft.ResourceHealth/childResources,null,No
no,Microsoft.ResourceHealth/events,null,No
no,Microsoft.ResourceHealth/metadata,null,No
no,Microsoft.ResourceHealth/emergingissues,null,No
no,Microsoft.ResourceHealth/operations,null,No
no,Microsoft.Web/publishingUsers,null,No
no,Microsoft.Web/ishostnameavailable,null,No
no,Microsoft.Web/validate,null,No
no,Microsoft.Web/isusernameavailable,null,No
no,Microsoft.Web/generateGithubAccessTokenForAppserviceCLI,null,No
no,Microsoft.Web/sourceControls,null,No
no,Microsoft.Web/availableStacks,null,No
no,Microsoft.Web/webAppStacks,null,No
no,Microsoft.Web/locations/webAppStacks,null,No
no,Microsoft.Web/functionAppStacks,null,No
no,Microsoft.Web/locations/functionAppStacks,null,No
yes,Microsoft.Web/staticSites,Static Web App,Yes
no,Microsoft.Web/locations/previewStaticSiteWorkflowFile,null,No
no,Microsoft.Web/staticSites/userProvidedFunctionApps,null,No
no,Microsoft.Web/staticSites/linkedBackends,null,No
no,Microsoft.Web/staticSites/builds/linkedBackends,null,No
no,Microsoft.Web/staticSites/databaseConnections,null,No
no,Microsoft.Web/staticSites/builds/databaseConnections,null,No
no,Microsoft.Web/staticSites/builds,null,No
no,Microsoft.Web/staticSites/builds/userProvidedFunctionApps,null,No
no,Microsoft.Web/listSitesAssignedToHostName,null,No
no,Microsoft.Web/locations/getNetworkPolicies,null,No
no,Microsoft.Web/locations/operations,null,No
no,Microsoft.Web/locations/operationResults,null,No
no,Microsoft.Web/sites/networkConfig,null,No
no,Microsoft.Web/sites/slots/networkConfig,null,No
no,Microsoft.Web/sites/hostNameBindings,null,No
no,Microsoft.Web/sites/slots/hostNameBindings,null,No
no,Microsoft.Web/operations,null,No
no,Microsoft.Web/certificates,null,No
yes,Microsoft.Web/serverFarms,App Service Plan,Yes
yes,Microsoft.Web/sites,Web App,Yes
no,Microsoft.Web/sites/slots,null,No
no,Microsoft.Web/runtimes,null,No
no,Microsoft.Web/recommendations,null,No
no,Microsoft.Web/resourceHealthMetadata,null,No
no,Microsoft.Web/aseregions,null,No
no,Microsoft.Web/georegions,null,No
no,Microsoft.Web/sites/premieraddons,null,No
yes,Microsoft.Web/hostingEnvironments,Web Hosting Environments,No
no,Microsoft.Web/hostingEnvironments/multiRolePools,null,No
no,Microsoft.Web/hostingEnvironments/workerPools,null,No
no,Microsoft.Web/kubeEnvironments,null,No
no,Microsoft.Web/deploymentLocations,null,No
no,Microsoft.Web/deletedSites,null,No
no,Microsoft.Web/locations/deletedSites,null,No
no,Microsoft.Web/ishostingenvironmentnameavailable,null,No
no,Microsoft.Web/locations/deleteVirtualNetworkOrSubnets,null,No
no,Microsoft.Web/locations/validateDeleteVirtualNetworkOrSubnets,null,No
yes,Microsoft.Web/connections,Web Connections,No
yes,Microsoft.Web/customApis,Web Custom APIs,No
no,Microsoft.Web/locations,null,No
no,Microsoft.Web/locations/listWsdlInterfaces,null,No
no,Microsoft.Web/locations/extractApiDefinitionFromWsdl,null,No
no,Microsoft.Web/locations/managedApis,null,No
no,Microsoft.Web/locations/runtimes,null,No
no,Microsoft.Web/locations/apiOperations,null,No
no,Microsoft.Web/connectionGateways,null,No
no,Microsoft.Web/locations/connectionGatewayInstallations,null,No
no,Microsoft.Web/checkNameAvailability,null,No
no,Microsoft.Web/billingMeters,null,No
no,Microsoft.Web/verifyHostingEnvironmentVnet,null,No
no,Microsoft.Web/serverFarms/eventGridFilters,null,No
no,Microsoft.Web/sites/eventGridFilters,null,No
no,Microsoft.Web/sites/slots/eventGridFilters,null,No
no,Microsoft.Web/hostingEnvironments/eventGridFilters,null,No
no,Microsoft.Web/serverFarms/firstPartyApps,null,No
no,Microsoft.Web/serverFarms/firstPartyApps/keyVaultSettings,null,No
yes,Microsoft.Web/containerApps,Web Container Apps,No
no,Microsoft.Web/customhostnameSites,null,No
no,Microsoft.Web/locations/usages,null,No
yes,Microsoft.DocumentDB/databaseAccounts,Cosmosdb,Yes
no,Microsoft.DocumentDB/databaseAccountNames,null,No
no,Microsoft.DocumentDB/operations,null,No
no,Microsoft.DocumentDB/operationResults,null,No
no,Microsoft.DocumentDB/operationsStatus,null,No
no,Microsoft.DocumentDB/locations/operationsStatus,null,No
no,Microsoft.DocumentDB/locations/operationResults,null,No
no,Microsoft.DocumentDB/locations,null,No
no,Microsoft.DocumentDB/locations/deleteVirtualNetworkOrSubnets,null,No
no,Microsoft.DocumentDB/locations/restorableDatabaseAccounts,null,No
no,Microsoft.DocumentDB/restorableDatabaseAccounts,null,No
yes,Microsoft.DocumentDB/cassandraClusters,Cassandra Clusters,No
no,Microsoft.DocumentDB/databaseAccounts/encryptionScopes,null,No
yes,Microsoft.DocumentDB/mongoClusters,MongoDB Clusters,No
no,Microsoft.DocumentDB/locations/mongoClusterOperationResults,null,No
no,Microsoft.DocumentDB/locations/mongoClusterAzureAsyncOperation,null,No
no,Microsoft.DocumentDB/locations/checkMongoClusterNameAvailability,null,No
no,Microsoft.DocumentDB/locations/notifyNetworkSecurityPerimeterUpdatesAvailable,null,No
no,Microsoft.DocumentDB/throughputPools,null,No
no,Microsoft.DocumentDB/throughputPools/throughputPoolAccounts,null,No
no,Microsoft.GuestConfiguration/guestConfigurationAssignments,null,No
no,Microsoft.GuestConfiguration/operations,null,No
no,Astronomer.Astro/locations,null,No
no,Astronomer.Astro/operations,null,No
no,Astronomer.Astro/organizations,null,No
no,Astronomer.Astro/locations/operationStatuses,null,No
no,Dynatrace.Observability/operations,null,No
no,Dynatrace.Observability/registeredSubscriptions,null,No
no,Dynatrace.Observability/locations,null,No
no,Dynatrace.Observability/locations/operationStatuses,null,No
no,Dynatrace.Observability/monitors,null,No
no,Dynatrace.Observability/monitors/tagRules,null,No
no,Dynatrace.Observability/monitors/singleSignOnConfigurations,null,No
no,Dynatrace.Observability/checkNameAvailability,null,No
no,Dynatrace.Observability/getMarketplaceSaaSResourceDetails,null,No
no,Dynatrace.Observability/monitors/listHosts,null,No
no,Dynatrace.Observability/monitors/listMonitoredResources,null,No
no,Dynatrace.Observability/monitors/listAppServices,null,No
no,GitHub.Network/Operations,null,No
no,GitHub.Network/networkSettings,null,No
no,GitHub.Network/registeredSubscriptions,null,No
no,Informatica.DataManagement/registeredSubscriptions,null,No
no,Informatica.DataManagement/locations,null,No
no,Informatica.DataManagement/locations/operationStatuses,null,No
no,Informatica.DataManagement/checkNameAvailability,null,No
no,Informatica.DataManagement/organizations,null,No
no,Informatica.DataManagement/organizations/singleSignOnConfigurations,null,No
no,Informatica.DataManagement/operations,null,No
no,Informatica.DataManagement/organizations/serverlessRuntimes,null,No
yes,Microsoft.AAD/DomainServices,Azure Active Directory Domain Services,No
no,Microsoft.AAD/DomainServices/oucontainer,null,No
no,Microsoft.AAD/locations,null,No
no,Microsoft.AAD/locations/operationresults,null,No
no,Microsoft.AAD/operations,null,No
no,Microsoft.AadCustomSecurityAttributesDiagnosticSettings/operations,null,No
no,Microsoft.AadCustomSecurityAttributesDiagnosticSettings/diagnosticSettings,null,No
no,Microsoft.AadCustomSecurityAttributesDiagnosticSettings/diagnosticSettingsCategories,null,No
no,microsoft.aadiam/azureADMetrics,null,No
no,microsoft.aadiam/privateLinkForAzureAD,null,No
no,microsoft.aadiam/tenants,null,No
no,microsoft.aadiam/operations,null,No
no,microsoft.aadiam/diagnosticSettings,null,No
no,microsoft.aadiam/diagnosticSettingsCategories,null,No
no,Microsoft.Addons/supportProviders,null,No
no,Microsoft.Addons/operations,null,No
no,Microsoft.Addons/operationResults,null,No
no,Microsoft.ADHybridHealthService/services,null,No
no,Microsoft.ADHybridHealthService/addsservices,null,No
no,Microsoft.ADHybridHealthService/configuration,null,No
no,Microsoft.ADHybridHealthService/operations,null,No
no,Microsoft.ADHybridHealthService/agents,null,No
no,Microsoft.ADHybridHealthService/aadsupportcases,null,No
no,Microsoft.ADHybridHealthService/reports,null,No
no,Microsoft.ADHybridHealthService/servicehealthmetrics,null,No
no,Microsoft.ADHybridHealthService/logs,null,No
no,Microsoft.ADHybridHealthService/anonymousapiusers,null,No
no,Microsoft.AgFoodPlatform/operations,null,No
no,Microsoft.AgFoodPlatform/farmBeatsExtensionDefinitions,null,No
no,Microsoft.AgFoodPlatform/farmBeatsSolutionDefinitions,null,No
no,Microsoft.AgFoodPlatform/checkNameAvailability,null,No
no,Microsoft.AgFoodPlatform/locations,null,No
no,Microsoft.AksHybrid/locations,null,No
yes,Microsoft.AnalysisServices/servers,Analysis Services,No
no,Microsoft.AnalysisServices/locations,null,No
no,Microsoft.AnalysisServices/locations/checkNameAvailability,null,No
no,Microsoft.AnalysisServices/locations/operationresults,null,No
no,Microsoft.AnalysisServices/locations/operationstatuses,null,No
no,Microsoft.AnalysisServices/operations,null,No
no,Microsoft.AnyBuild/Locations,null,No
no,Microsoft.AnyBuild/Locations/OperationStatuses,null,No
no,Microsoft.AnyBuild/clusters,null,No
no,Microsoft.AnyBuild/Operations,null,No
yes,Microsoft.ApiCenter/services,null,Yes
no,Microsoft.ApiCenter/operations,null,No
no,Microsoft.ApiCenter/services/eventGridFilters,null,No
no,Microsoft.ApiSecurity/Locations,null,No
no,Microsoft.ApiSecurity/Locations/OperationStatuses,null,No
no,Microsoft.ApiSecurity/Operations,null,No
yes,Microsoft.ApiSecurity/apiCollections,API Collection,Yes
no,Microsoft.ApiSecurity/apiCollections/apiCollectionDetails,API Collection Detail,Yes
no,Microsoft.ApiSecurity/apiCollectionsMeta,null,No
no,Microsoft.ApiSecurity/apiCollectionsMeta/apiCollectionMetaDetails,null,No
yes,Microsoft.App/managedEnvironments,Managed Environment,Yes
no,Microsoft.App/managedEnvironments/certificates,null,No
no,Microsoft.App/managedEnvironments/managedCertificates,null,No
yes,Microsoft.App/containerApps,Microsoft App Container App,Yes
no,Microsoft.App/containerApps/privateEndpointConnectionProxies,null,No
no,Microsoft.App/managedEnvironments/privateEndpointConnectionProxies,null,No
no,Microsoft.App/jobs,null,No
no,Microsoft.App/locations,null,No
no,Microsoft.App/locations/managedEnvironmentOperationResults,null,No
no,Microsoft.App/locations/managedEnvironmentOperationStatuses,null,No
no,Microsoft.App/locations/containerappOperationResults,null,No
no,Microsoft.App/locations/containerappOperationStatuses,null,No
no,Microsoft.App/locations/containerappsjobOperationResults,null,No
no,Microsoft.App/locations/containerappsjobOperationStatuses,null,No
no,Microsoft.App/locations/sourceControlOperationResults,null,No
no,Microsoft.App/locations/sourceControlOperationStatuses,null,No
no,Microsoft.App/locations/usages,null,No
no,Microsoft.App/operations,null,No
no,Microsoft.App/connectedEnvironments,null,No
no,Microsoft.App/connectedEnvironments/certificates,null,No
no,Microsoft.App/locations/connectedEnvironmentOperationResults,null,No
no,Microsoft.App/locations/connectedEnvironmentOperationStatuses,null,No
no,Microsoft.App/locations/managedCertificateOperationStatuses,null,No
no,Microsoft.App/locations/billingMeters,null,No
no,Microsoft.App/locations/availableManagedEnvironmentsWorkloadProfileTypes,null,No
no,Microsoft.App/getCustomDomainVerificationId,null,No
no,Microsoft.App/builders,null,No
no,Microsoft.App/builders/builds,null,No
no,Microsoft.App/locations/OperationResults,null,No
no,Microsoft.App/locations/OperationStatuses,null,No
no,Microsoft.App/managedEnvironments/dotNetComponents,null,No
no,Microsoft.App/managedEnvironments/javaComponents,null,No
no,Microsoft.App/managedEnvironments/daprComponents,null,No
no,Microsoft.AppAssessment/Locations,null,No
no,Microsoft.AppAssessment/operations,null,No
no,Microsoft.AppAssessment/Locations/OperationStatuses,null,No
no,Microsoft.AppAssessment/Locations/osVersions,null,No
no,Microsoft.AppComplianceAutomation/operations,null,No
no,Microsoft.AppComplianceAutomation/locations,null,No
no,Microsoft.AppComplianceAutomation/locations/operationStatuses,null,No
no,Microsoft.AppComplianceAutomation/reports,null,No
no,Microsoft.AppComplianceAutomation/reports/snapshots,null,No
no,Microsoft.AppComplianceAutomation/onboard,null,No
no,Microsoft.AppComplianceAutomation/triggerEvaluation,null,No
no,Microsoft.AppComplianceAutomation/reports/webhooks,null,No
no,Microsoft.AppComplianceAutomation/reports/evidences,null,No
no,Microsoft.AppComplianceAutomation/listInUseStorageAccounts,null,No
no,Microsoft.AppComplianceAutomation/checkNameAvailability,null,No
no,Microsoft.AppComplianceAutomation/getCollectionCount,null,No
no,Microsoft.AppComplianceAutomation/getOverviewStatus,null,No
no,Microsoft.AppComplianceAutomation/reports/scopingConfigurations,null,No
yes,Microsoft.AppConfiguration/configurationStores,Configuration store,Yes
no,Microsoft.AppConfiguration/configurationStores/keyValues,null,No
no,Microsoft.AppConfiguration/configurationStores/eventGridFilters,null,No
no,Microsoft.AppConfiguration/checkNameAvailability,null,No
no,Microsoft.AppConfiguration/locations/checkNameAvailability,null,No
no,Microsoft.AppConfiguration/locations,null,No
no,Microsoft.AppConfiguration/locations/operationsStatus,null,No
no,Microsoft.AppConfiguration/operations,null,No
no,Microsoft.AppConfiguration/deletedConfigurationStores,null,No
no,Microsoft.AppConfiguration/locations/deletedConfigurationStores,null,No
no,Microsoft.AppConfiguration/configurationStores/replicas,null,No
no,Microsoft.AppConfiguration/configurationStores/snapshots,null,No
no,Microsoft.AppConfiguration/locations/notifyNetworkSecurityPerimeterUpdatesAvailable,null,No
yes,Microsoft.AppPlatform/Spring,Spring Cloud Service,Yes
no,Microsoft.AppPlatform/Spring/operationResults,null,No
no,Microsoft.AppPlatform/Spring/operationStatuses,null,No
no,Microsoft.AppPlatform/Spring/apps,null,No
no,Microsoft.AppPlatform/Spring/apps/operationResults,null,No
no,Microsoft.AppPlatform/Spring/apps/operationStatuses,null,No
no,Microsoft.AppPlatform/Spring/apps/deployments,null,No
no,Microsoft.AppPlatform/Spring/apps/deployments/operationResults,null,No
no,Microsoft.AppPlatform/Spring/apps/deployments/operationStatuses,null,No
no,Microsoft.AppPlatform/Spring/configServers,null,No
no,Microsoft.AppPlatform/Spring/configServers/operationResults,null,No
no,Microsoft.AppPlatform/Spring/configServers/operationStatuses,null,No
no,Microsoft.AppPlatform/Spring/eurekaServers,null,No
no,Microsoft.AppPlatform/Spring/eurekaServers/operationResults,null,No
no,Microsoft.AppPlatform/Spring/eurekaServers/operationStatuses,null,No
no,Microsoft.AppPlatform/Spring/apps/domains,null,No
no,Microsoft.AppPlatform/Spring/apps/domains/operationResults,null,No
no,Microsoft.AppPlatform/Spring/apps/domains/operationStatuses,null,No
no,Microsoft.AppPlatform/locations/checkNameAvailability,null,No
no,Microsoft.AppPlatform/operations,null,No
no,Microsoft.AppPlatform/locations,null,No
no,Microsoft.AppPlatform/runtimeVersions,null,No
no,Microsoft.AppPlatform/locations/operationResults,null,No
no,Microsoft.AppPlatform/locations/operationStatus,null,No
no,Microsoft.AppSecurity/operationStatuses,null,No
no,Microsoft.AppSecurity/Operations,null,No
no,Microsoft.ArcNetworking/locations,null,No
no,Microsoft.ArcNetworking/locations/operationStatuses,null,No
no,Microsoft.ArcNetworking/arcNwLoadBalancers,null,No
no,Microsoft.Attestation/attestationProviders,Attestation provider,Yes
no,Microsoft.Attestation/defaultProviders,null,No
no,Microsoft.Attestation/locations,null,No
no,Microsoft.Attestation/locations/defaultProvider,null,No
no,Microsoft.Attestation/operations,null,No
no,Microsoft.Authorization/roleAssignmentScheduleRequests,null,No
no,Microsoft.Authorization/roleEligibilityScheduleRequests,null,No
no,Microsoft.Authorization/roleAssignmentSchedules,null,No
no,Microsoft.Authorization/roleEligibilitySchedules,null,No
no,Microsoft.Authorization/roleAssignmentScheduleInstances,null,No
no,Microsoft.Authorization/roleEligibilityScheduleInstances,null,No
no,Microsoft.Authorization/roleManagementPolicies,null,No
no,Microsoft.Authorization/roleManagementPolicyAssignments,null,No
no,Microsoft.Authorization/eligibleChildResources,null,No
no,Microsoft.Authorization/roleManagementAlerts,null,No
no,Microsoft.Authorization/roleManagementAlertConfigurations,null,No
no,Microsoft.Authorization/roleManagementAlertDefinitions,null,No
no,Microsoft.Authorization/roleManagementAlertOperations,null,No
no,Microsoft.Authorization/roleAssignments,null,No
no,Microsoft.Authorization/roleDefinitions,null,No
no,Microsoft.Authorization/classicAdministrators,null,No
no,Microsoft.Authorization/permissions,null,No
no,Microsoft.Authorization/denyAssignments,null,No
no,Microsoft.Authorization/locks,Locks,No
no,Microsoft.Authorization/operations,null,No
yes,Microsoft.Authorization/policyDefinitions,Policy Definitions,No
no,Microsoft.Authorization/policyDefinitions/versions,null,No
no,Microsoft.Authorization/policySetDefinitions,null,No
no,Microsoft.Authorization/policySetDefinitions/versions,null,No
no,Microsoft.Authorization/policyAssignments,null,No
no,Microsoft.Authorization/policyExemptions,null,No
no,Microsoft.Authorization/listPolicyDefinitionVersions,null,No
no,Microsoft.Authorization/listPolicySetDefinitionVersions,null,No
no,Microsoft.Authorization/dataAliases,null,No
no,Microsoft.Authorization/dataPolicyManifests,null,No
no,Microsoft.Authorization/providerOperations,null,No
no,Microsoft.Authorization/elevateAccess,null,No
no,Microsoft.Authorization/checkAccess,null,No
no,Microsoft.Authorization/batchResourceCheckAccess,null,No
no,Microsoft.Authorization/findOrphanRoleAssignments,null,No
no,Microsoft.Authorization/roleAssignmentsUsageMetrics,null,No
no,Microsoft.Authorization/accessReviewScheduleDefinitions,null,No
no,Microsoft.Authorization/accessReviewScheduleSettings,null,No
no,Microsoft.Authorization/accessReviewHistoryDefinitions,null,No
no,Microsoft.Authorization/roleAssignmentApprovals,null,No
no,Microsoft.Authorization/privateLinkAssociations,null,No
no,Microsoft.Authorization/resourceManagementPrivateLinks,null,No
no,Microsoft.Authorization/EnablePrivateLinkNetworkAccess,null,No
no,Microsoft.Authorization/operationStatus,null,No
no,Microsoft.Authorization/diagnosticSettings,null,No
no,Microsoft.Authorization/diagnosticSettingsCategories,null,No
no,Microsoft.Automanage/configurationProfileAssignments,null,No
no,Microsoft.Automanage/configurationProfiles,null,No
no,Microsoft.Automanage/configurationProfiles/versions,null,No
no,Microsoft.Automanage/bestPractices,null,No
no,Microsoft.Automanage/bestPractices/versions,null,No
no,Microsoft.Automanage/operations,null,No
no,Microsoft.Automanage/servicePrincipals,null,No
yes,Microsoft.Automation/automationAccounts,Automation Account,Yes
no,Microsoft.Automation/deletedAutomationAccounts,null,No
no,Microsoft.Automation/automationAccounts/runbooks,null,No
no,Microsoft.Automation/automationAccounts/configurations,null,No
no,Microsoft.Automation/automationAccounts/webhooks,null,No
no,Microsoft.Automation/operations,null,No
no,Microsoft.Automation/automationAccounts/softwareUpdateConfigurations,null,No
no,Microsoft.Automation/automationAccounts/softwareUpdateConfigurationRuns,null,No
no,Microsoft.Automation/automationAccounts/softwareUpdateConfigurationMachineRuns,null,No
no,Microsoft.Automation/automationAccounts/jobs,null,No
no,Microsoft.Automation/automationAccounts/privateLinkResources,null,No
no,Microsoft.Automation/automationAccounts/privateEndpointConnections,null,No
no,Microsoft.Automation/automationAccounts/privateEndpointConnectionProxies,null,No
no,Microsoft.Automation/automationAccounts/hybridRunbookWorkerGroups,null,No
no,Microsoft.Automation/automationAccounts/hybridRunbookWorkerGroups/hybridRunbookWorkers,null,No
no,Microsoft.Automation/automationAccounts/agentRegistrationInformation,null,No
no,Microsoft.AutonomousDevelopmentPlatform/operations,null,No
no,Microsoft.AutonomousDevelopmentPlatform/locations,null,No
no,Microsoft.AutonomousDevelopmentPlatform/locations/operationstatuses,null,No
no,Microsoft.AutonomousDevelopmentPlatform/checknameavailability,null,No
no,Microsoft.AutonomousDevelopmentPlatform/workspaces/eventgridfilters,null,No
no,Microsoft.AVS/locations,null,No
no,Microsoft.AVS/locations/checkQuotaAvailability,null,No
no,Microsoft.AVS/locations/checkTrialAvailability,null,No
no,Microsoft.AVS/locations/usages,null,No
no,Microsoft.AVS/operations,null,No
yes,Microsoft.AVS/privateClouds,Azure Vmware Solution,Yes
no,Microsoft.AVS/privateClouds/addons,null,No
no,Microsoft.AVS/privateClouds/authorizations,null,No
no,Microsoft.AVS/privateClouds/cloudLinks,null,No
no,Microsoft.AVS/privateClouds/clusters,null,No
no,Microsoft.AVS/privateClouds/clusters/datastores,null,No
no,Microsoft.AVS/privateClouds/clusters/placementPolicies,null,No
no,Microsoft.AVS/privateClouds/clusters/virtualMachines,null,No
no,Microsoft.AVS/privateClouds/eventGridFilters,null,No
no,Microsoft.AVS/privateClouds/globalReachConnections,null,No
no,Microsoft.AVS/privateClouds/hcxEnterpriseSites,null,No
no,Microsoft.AVS/privateClouds/scriptExecutions,null,No
no,Microsoft.AVS/privateClouds/scriptPackages,null,No
